id,company,title,salary,education,description,hiring_manager,last_active,address,link
1622,知行良知实业股份有限公司,计算机/网络实习生,1-2K,大专,处理办公室网络、软硬件相关事宜,张倩,半年前活跃,成都四川省成都市郫都区萃峰国际高新西区百草路366号,https://www.zhipin.com/job_detail/9c1c9e487697f2bc1Xd53d-5EFo~.html?lid=6jfbAO5qswn.search.90&securityId=Ykw2Vvz8_4H0U-K1GUNDv65PGdgusDSMeCbNRBS3Gb4r4pYbYbN7ll3DY4ZUSGW_l07oH8CAwLywZK9yyO-OamHjR_No47dkohEnlb78eH1enBdNk8352SotfX1ta_q1Sc9T6ZbDyBg%7E&sessionId=
1656,杭州菁业科技有限公司,计算机实习生,2-3K,大专,负责内部局域网络的管理、维护、故障排除等日常工作，确保公司网络正常运作,王菁遥,本月活跃,杭州上城区华润大厦B座3701,https://www.zhipin.com/job_detail/6f1b7013c9260ded1XNz09S6FlBY.html?lid=6iJtoTDgSHQ.search.124&securityId=S0imt5u3uJA4g-P1m-KyAkKSqMmnlWjy1h1h41_G8w15sUIyUehN3UX45NySM7qWYdIyFzX6bg9IWgiZC-yVNklV9beDTOVNea_wtyzfqYJJcB41ycldk_J-0M_yFKr9mUvBtQEZXRo0LQ~~&sessionId=
1674,北京博通讯远通信工程有限公司,网络运维实习生,2-4K,大专,一、岗位职责：1、处理工单并完成客户宽带网络的安装、维护，确保客户的宽带网络正常使用；安全、及时、准确、高效完成安装维护任务；2、负责下联节点机房的设备管理维护，确保相关网络设备的正常运行；3、按照客户需求对网络进行调整和配置；4、为销售人员提供技术支持。二、任职要求：1、大专及以上学历，不限专业，计算机或通信相关专业优先考虑；2、网络基础知识扎实；3、吃苦耐劳，有上进心，主动性强；4、善于沟通和表达，积极好学。工作地址：北京市朝阳区东三环南路1号佳龙大厦8层丰富的实践机会，完善的培训体系，轻松活跃的工作氛围，优秀者可根据自身优势定向培养。公司福利待遇：?完善福利体系?实行五天工作制、享受国定假期；?培训与发展:?公司有完善的培训体系、为员工提供适应全新业务模式的系统培训?。,范鸿,半年前活跃,北京朝阳区佳龙大厦803-804,https://www.zhipin.com/job_detail/9fcbe799f6dff8981nN839W0EFY~.html?lid=6iJtoTDgSHQ.search.142&securityId=FtIz5Q53sVfJm-81e2P2y7sqJFQC40z1ce71-0RwNBW6N7-c_2IP8A6MfDcoy10cPPHX9Z1RmWIAnp4gthmmb8fnYANWfQNShy4z8g-iGnu7wn8J6kaYpAaolN0WHezlwRVgUgYiVQ~~&sessionId=
1687,杭州前方卫客电子技术有限公司,IT网络等技术支持实习生,2-3K,大专,1、根据公司项目订单的要求，较好地完成项目的跟单沟通以及各项事情的安排。2、学习了解相关智能零售设备（售货机、迷你KTV、共享按摩椅等）技术知识。任职要求：1、大专或者以上学历；计算机、网络、机械等相关专业优先；?2、性格开朗，拥有良好的倾听能力和语言沟通能力?；3、熟悉office等办公软件；?4、有一定协调能力，对时间能够有效管理。?5、拥有良好心态及自我激励能力?。?6、有电话销售工作经历优先考虑。,Fee,半年前活跃,杭州交通银行ATM(下沙七格花坛1号),https://www.zhipin.com/job_detail/7b3acb600b007d7d1nB_39--FVc~.html?lid=6iJtoTDgSHQ.search.155&securityId=b6u3ksLjnAm4T-J17EEpPySKXeucahuLaYzOasJ2hiIKvqXp1FlVhArqk0vByJXKs7H5j9K9jeMyEIUcWHW5gqZrSeOWEeprvVSK0uC6gC0bEl2tkRyYwRx0fLY55L1IROnxz3o5&sessionId=
1704,厦门蜂米信息科技有限公司,网络编辑实习生,2-3K,大专,岗位职责：1、善于把握亮点，对所传播的内容进行有趣、有吸引力的描述；2、负责文案配图的图片设计和处理；3、完成信息内容的策划和日常更新维护；4、有一定的文字功底，文笔流畅，能根据需求制作软文；任职要求：1.新闻学、汉语言文学、计算机、电子商务等专业，专科及以上学历；2.大三，大四实习生可以看过来哈福利待遇： 1、薪资制度：有竞争力的基本薪资+满勤奖，年终双薪； 2、社会保险：按照国家规定签订劳动合同并缴纳社会保险； 3、节假日：带薪年假，享有国家规定的各种节假日； 4、员工福利：生日饼券、结婚礼金，民俗节日礼品；爬山、羽毛球、篮球、k歌等活动，年度旅游或拓展等；,张女士,半年前活跃,厦门湖里区锦厦科技研究大厦枋湖北二路1507号H层H02,https://www.zhipin.com/job_detail/653cd7baf26532493nR63tm4FlY~.html?lid=6iJtoTDgSHQ.search.172&securityId=LrhRkEyzGjCC4-P164SBVO_xocGMwXC_Iyhb5KyO5dV37JDVAy69u5cMKA37f4gwLKZrW8iJ2m65qDZxQYwTbaGyOJjZI6hhHWnIH12AfoKrdlQCTT4XEhGiFY-h8-fP18qB8Lj1hA~~&sessionId=
3781,扬州科瑞信息技术有限公司,实习软件实施工程师,2-3K,大专,职位描述：一、岗位要求要求实习生岗位1、教育背景大专以上学历，计算机、软件相关专业优先；2、对企业管理软件(OA/ERP/CRM/HR)有一定的了解；3、熟悉多元操作系统和数据库；4、能力要求：性格外向，理解客户需求和掌控客户能力强，具备良好的沟通表达技巧。加分项有以下行业经验：计算机软件,孙先生,3日内活跃,扬州高邮市科创大厦高邮市城南经济新区中心大道88号,https://www.zhipin.com/job_detail/7a37364d506c48af1XR43d64FVpW.html?lid=5TE8dV5A6RG.search.41&securityId=d6Jt8qUfVeoml-515NQNYwM77FLzfITgYzHGNgE4ayxBmRqMQeCFyPfIjdff24A74e94_6Le2wK165GrGPmJz1itqiXRqAdVnB77ihSY-zU8Nq5rqrDJ&sessionId=
3783,深圳市鸣筝软件有限责任公司,软件实施工程师 （实习岗）,2-3K,大专,实施工程师 （实习岗）2人岗位职责：1、掌握公司软件产品的技术指标、市场定位、发展目标；2、协助项目经理制定实施规划并组织实施，包括项目的实施计划、组织协调、方案设计、用户培训及与客户的沟通、协调；3、针对项目阶段性目标和总目标分解，划分出主要工作内容和工作量，确定项目阶段性目标的实现标志；4、协助项目实施经理履行合同义务；5、在项目实施计划的约束下，协调项目组相关资源，完成系统实施相关工作（包括系统安装、用户培训、系统上线、系统试运行等）；6、完成或分派项目部经理指派的其他任务。任职条件：1、熟悉SQL SERVER或ORACLE数据库；2、计算机相关专业；3、有团队合作精神和敬业精神，有良好的沟通及组织能力，积极主动，有坚强毅力；4、能够适应短期出差。,陈先生,半年前活跃,深圳南山区豪方悠然居二楼A区6号,https://www.zhipin.com/job_detail/8ee68e20712844a63nx52N-9FFo~.html?lid=5TE8dV5A6RG.search.43&securityId=9ZjjP9ZcMX9y4-F1fOpZJPG46DVx1QfU8lztL0WQZ-r3zdxrQNi-ViCn2ecE_5BUwppeNs80rRMWEMhgzTHUcvvsnppP3WP3x5X_TwSpRWxnGxA99Hs%7E&sessionId=
3788,山东贝叶斯信息科技有限公司,实习工程师（网络，软件，或运维）,2-5K,大专,1.具备扎实的计算机基础知识2.学习能力强,陈先生,4月内活跃,青岛市北区青岛科技创新大厦19905,https://www.zhipin.com/job_detail/e2810e95554e4b2e1nJz2Ni8GVNU.html?lid=5TE8dV5A6RG.search.48&securityId=ana6V8GHSxrVg-81VFJbQ9dVjM48NQyHLcF7zAbTHjb1UdsoKb8_H1fqTV4m9ZN6bIKPlI93WPAPAz-301kJSQI9BPjRcTHIDduAu8a9j_7ffGXdMA%7E%7E&sessionId=
3796,北京智源视界科技有限公司,Web前端开发工程师（实习生）,2-4K,大专,"技能要求：JavaScript, CSS, html职位名称：前端开发工程师招聘人数：4学历要求：本科及以上专业要求：计算机或电子通信相关专业毕业任职要求：1. 具有扎实的计算机基础知识，熟悉和掌握软件开发的基本概念和流程、有软件开发经验者优先。2. 良好的沟通能力，团队意识强，善于发现问题并推动解决问题。3. 工作积极主动，具有较强的自主学习能力，吃苦耐劳。",栗先生,本月活跃,北京海淀区清华科技园玉泉慧谷33栋,https://www.zhipin.com/job_detail/709e37ed3762558f1nd43dW8F1JR.html?lid=5TE8dV5A6RG.search.64&securityId=6hJXvEgbt6Idj-z1mbJCjCMyjUMqpVNUAgd5_Uk2H0VO6Dl1q9Gg6QiLAYgtIN7IEgxLa0ggSjf5dSjUM9dTYL3woJUKINEjNjVJAHuicqXCLK4pPg~~&sessionId=
7893,冠新软件股份有限公司,计算机实习生（运维工程师）,2-3K,大专,一、任职资格1、2023年毕业，目前可全职实习高校学生；优秀的2024年毕业且至少可实习3个月的高校学生择优录用。2、熟练掌握office办公软件，熟练运用当前主流的电脑操作系统。3、基本了解计算机及网络原理，对计算机及网络的基本故障有一定的判断和解决能力。4、对工作有较强的责任心，能积极应对客户各种服务请求事件。5、具有较强的沟通能力。二、岗位职责1、 负责通过电话、QQ接入客户的服务请求，核实用户身份，并利用部门现有知识库中各类问题的解决方案及部门定期培训所要掌握的相关业务知识、软件操作流程来处理一些简单的问题，以及指导用户软件操作和其他服务请求，如产品购买咨询。2、 对用户反馈的复杂问题，通过知识库中的解决方案和所学技能无法解决的，需将问题转交到二线技术工程师，并与二线技术工程师做好沟通，同时跟踪所转交问题的解决情况，并在解决后跟用户确认结果。3、 核对接入用户信息，确保服务台中记录的用户信息的准确性。4、上级安排的其他工作。三、薪资待遇1、大专：2000元/月+出差补助（40-150元/天）或园区上班补助（22元/天）2、本科：2500元/月+出差补助（40-150元/天）或园区上班补助（22元/天）3、研究生：3200元/月+出差补助（40-150元/天）或园区上班补助（22元/天）4、有员工宿舍5、技能优秀者，实习满5个月后可参与初级工程师技能考核，考核合格者执行初级工程师转正薪资待遇。,杨女士,刚刚活跃,乌鲁木齐新市区新疆软件园喀纳斯湖路455号新疆软件园E1栋8层,https://www.zhipin.com/job_detail/d07af68e2ba1ebe21XR52NS4EVFV.html?lid=5vbszS5kh3Y.search.92&securityId=vAx3gS2HROkvb-Y1RqpK4VZbUqx1qH0MABp123G4JMH_dQ_30zQpHaC3VNEl9z5PRwAs3HX0H5bB3Wb8R5TFdtxKi6icS_C0dzLi_CqecQAS7dXou6A%7E&sessionId=
